name,id,level,1_country_id,1_country,2_district_id,2_district,3_chiefdom_id,3_chiefdom
Foria CHP,JKhjdiwoQZu,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,Lt8U7GVWvSR,Diang
Fotaneh Junction MCHP,OwhDCucf4Ue,4,ImspTQPwCqd,Sierra Leone,eIQbndfxQMb,Tonkolili,l0ccv2yzfF3,Kunike
Fothaneh Bana MCHP,GkHpMSo5K60,4,ImspTQPwCqd,Sierra Leone,eIQbndfxQMb,Tonkolili,l0ccv2yzfF3,Kunike
Foya CHP,qqF8jshIs66,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,npWGUj37qDe,Valunia
Freetown,C9uduqDZr9d,3,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,,
Fulamansa MCHP,TbiRD4Bsz4Z,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,Mr4au3jR9bt,Dembelia Sinkunia
Fullah Town (B.Sebora) MCHP,aQoqXL4cZaF,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,KKkLOTpMXGV,Bombali Sebora
Fullah Town (M.Gbanti) MCHP,z9KGMrElTYS,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,lY93YpCxJqf,Makari Gbanti
Fullawahun MCHP,eRg3KZyWUSJ,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Funyehun MCHP,dGZbEZroAWr,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,eNtRuQrrZeo,Galliness Perri
Futa CHC,uDzWmUDHKeR,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,N233eZJZ1bh,Pejeh
Galliness Perri,eNtRuQrrZeo,3,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,,
Gambia CHP,UWhv0MQOqoB,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,VCtF1DbspR5,Jong
Gandorhun CHC,ZdPkczYqeIY,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,vULnao2hV5v,Fakunya
Gandorhun CHP,IWb1hstfROc,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,uKC54fzxRzO,Niawa
Gandorhun (Gbane) CHC,ii2KMnWMx2L,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,ajILkI0cfxn,Gbane
Ganya MCHP,JttXgTlQAGE,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,PaqugoqjRIj,Sulima (Koinadugu)
Gao MCHP,GAvxcmr5jB1,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,myQ4q1W6B4y,Dama
Gaura,eROJsBwxQHt,3,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,,
Gbaa (Makpele) CHP,RXeDDKU26rB,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,BD9gU0GKlr2,Makpele
Gbaama MCHP,ei21lW7hFPX,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,daJPPxtIrQn,Jaiama Bongor
Gbado MCHP,kedYKTsv95j,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,K1r3uF6eZ8n,Kandu Lepiema
Gbahama (Makpele) MCHP,TWH05Rjz6oT,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,BD9gU0GKlr2,Makpele
Gbahama (P. Bongre) CHP,YhBJbiD5N1z,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,DxAPPqXvwLy,Peje Bongre
Gbaiima CHC,jGYT5U5qJP6,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,YmmeuGbqOwR,Gbo
Gbainkfay MCHP,QFcMulIoEii,4,ImspTQPwCqd,Sierra Leone,fdc6uOvgoji,Bombali,e1eIKM1GIF3,Gbanti Kamaranka
Gbainty Wallah CHP,ifw5aLygJEi,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,fRLX08WHWpL,Lokomasama
Gbalahun CHP,nDoybVJLD74,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,cM2BKSrj9F9,Luawa
Gbalamuya MCHP,IPvrsWbm0EM,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,qIRCo0MfuGb,Gbinleh Dixion
Gbalan Thallan MCHP,FsunWIQLXoF,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,FlBemv1NfEC,Masungbala
Gbamandu MCHP,AlLmKZIIIT4,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,iGHlidSFdpu,Soa
Gbamani CHP,EihevoTWn2i,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,VP397wRvePm,Nongoba Bullum
Gbamgbaia CHP,K5wBtEzE2qJ,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,XEyIRFd9pct,Imperi
Gbamgbama CHC,D2rB1GRuh8C,4,ImspTQPwCqd,Sierra Leone,lc3eMKXaEfw,Bonthe,XEyIRFd9pct,Imperi
Gbandiwulo CHP,Vw6CNyFUeh9,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,hjpHnHZIniP,Kissi Tongi
Gbane,ajILkI0cfxn,3,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,,
Gbaneh Bana MCHP,w7a4l3XHIgi,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,vn9KJsLyP5f,Kaffu Bullom
Gbaneh Lol MCHP,oxAoPoePpqy,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,vn9KJsLyP5f,Kaffu Bullom
